date,rail_mrt_kajang,rail_mrt_pjy,rail_lrt_kj,rail_lrt_ampang,rail_monorail,bus_rkl
2024-11-30,226312,114095.0,180474,164062,60964,174562.0
2024-12-01,193979,95410.0,156978,144193,56509,165304.0
2024-12-02,265053,162834.0,276065,205735,57998,233535.0
2024-12-03,277400,169951.0,292450,211026,57483,239741.0
2024-12-04,285312,173260.0,294813,213656,58217,244043.0
2024-12-05,277304,169520.0,290093,211076,58664,237526.0
2024-12-06,282563,168581.0,287192,216168,65202,237916.0
2024-12-07,224984,113409.0,185877,164251,60526,178107.0
2024-12-08,192997,95326.0,157139,140502,55712,170755.0
2024-12-09,265751,160024.0,277074,205708,60105,236152.0
2024-12-10,283400,171507.0,297640,213122,60475,245113.0
2024-12-11,285866,168117.0,272453,208507,69585,213363.0
2024-12-12,275923,166683.0,289402,208516,59843,241855.0
2024-12-13,272662,160631.0,274310,205706,59794,233633.0
2024-12-14,225510,108945.0,175027,157720,68682,171603.0
2024-12-15,189538,92397.0,151379,137366,53303,161554.0
2024-12-16,259401,157428.0,269285,199972,56766,231555.0
2024-12-17,271197,164201.0,284270,205046,57430,235246.0
2024-12-18,280446,168013.0,289104,208895,58953,239307.0
2024-12-19,252241,160087.0,279528,203466,57475,236029.0
2024-12-20,280934,170868.0,280343,230838,64359,234035.0
2024-12-21,223548,119601.0,208087,157688,59550,169551.0
2024-12-22,213969,109625.0,193753,148044,59626,160711.0
2024-12-23,270298,153223.0,260918,195769,67210,212616.0
2024-12-24,288439,158511.0,270090,199032,71627,211235.0
2024-12-25,254078,115985.0,181419,147069,71911,153871.0
2024-12-26,254901,142623.0,241158,181588,61988,196050.0
2024-12-27,243013,137641.0,231765,177554,58789,191156.0
2024-12-28,196324,96974.0,157602,138977,54792,155885.0
2024-12-29,165083,80816.0,136026,119588,48545,145506.0
2024-12-30,235543,138478.0,233831,179275,58341,199415.0
2024-12-31,367376,220980.0,345814,244890,91717,237658.0
2025-01-01,202590,99681.0,162360,139336,63975,160381.0
2025-01-02,254324,156358.0,254590,191527,58586,219111.0
2025-01-03,253791,151166.0,249606,190163,58028,213774.0
2025-01-04,181585,93659.0,141258,125243,45689,158246.0
2025-01-05,160681,80743.0,126861,116910,43643,151061.0
2025-01-06,264186,165152.0,275308,205114,57141,234422.0
2025-01-07,273685,171454.0,288926,212315,59809,232903.0
2025-01-08,282426,173592.0,295394,214420,60455,237584.0
2025-01-09,279468,171713.0,289617,213773,60784,236688.0
2025-01-10,280619,169092.0,280623,215163,63975,232725.0
2025-01-11,209614,108591.0,165687,146068,54728,167478.0
2025-01-12,182773,92009.0,145138,132054,50788,166287.0
2025-01-13,269827,167876.0,279036,207734,60121,236816.0
